type,title,director,country,release_year,age_rating,genre,rating,stars,votes,month_added,year_added,duration_min,seasons
Movie,dick johnson is dead,Kirsten Johnson,United States,2020,PG-13,Documentaries,7.4,Kirsten Johnson,6636,9,2021,90,0
TV Show,ganglands,Julien Leclercq,France,2021,TV-MA,Crime TV Shows,7.0,Tracy Gotoas,2640,9,2021,0,1
TV Show,midnight mass,Mike Flanagan,United States,2021,TV-MA,TV Dramas,7.7,Kate Siegel,110997,9,2021,0,1
TV Show,midnight mass,Mike Flanagan,United States,2021,TV-MA,TV Dramas,7.3,Mike Flanagan,3841,9,2021,0,1
TV Show,midnight mass,Mike Flanagan,United States,2021,TV-MA,TV Dramas,7.7,Mike Flanagan,3523,9,2021,0,1
TV Show,midnight mass,Mike Flanagan,United States,2021,TV-MA,TV Dramas,8.1,Mike Flanagan,3469,9,2021,0,1
TV Show,midnight mass,Mike Flanagan,United States,2021,TV-MA,TV Dramas,8.0,Mike Flanagan,3279,9,2021,0,1
TV Show,midnight mass,Mike Flanagan,United States,2021,TV-MA,TV Dramas,8.6,Mike Flanagan,3794,9,2021,0,1
TV Show,midnight mass,Mike Flanagan,United States,2021,TV-MA,TV Dramas,8.6,Mike Flanagan,3414,9,2021,0,1
TV Show,midnight mass,Mike Flanagan,United States,2021,TV-MA,TV Dramas,8.0,Mike Flanagan,3518,9,2021,0,1
Movie,confessions of an invisible girl,Bruno Garotti,Brazil,2021,TV-PG,Children & Family Movies,5.2,Bruno Garotti,1111,9,2021,91,0
Movie,sankofa,Haile Gerima,United States,1993,TV-MA,Dramas,7.0,Haile Gerima,710,9,2021,125,0
Movie,the starling,Theodore Melfi,United States,2021,PG-13,Comedies,6.3,Theodore Melfi,13097,9,2021,104,0
Movie,je suis karl,Christian Schwochow,Germany,2021,TV-MA,Dramas,5.5,Christian Schwochow,1177,9,2021,127,0
TV Show,jailbirds new orleans,Not Given,Pakistan,2021,TV-MA,Docuseries,6.7,,229,9,2021,0,1
TV Show,crime stories: india detectives,Not Given,Pakistan,2021,TV-MA,British TV Shows,7.1,N. Shashi Kumar,1052,9,2021,0,1
TV Show,dance & sing with true,"Mark Thornton, Todd Kauffman",United States,2018,TV-Y,Kids' TV,7.0,,7,5,2018,0,1
Movie,my little pony: a new generation,"Robert Cullen, José Luis Ucha",Not Given,2021,PG,Children & Family Movies,6.8,Robert Cullen,3764,9,2021,91,0
TV Show,bangkok breaking,Kongkiat Komesiri,Not Given,2021,TV-MA,Crime TV Shows,5.8,Sukollawat Kanarot,307,9,2021,0,1
TV Show,monsters inside: the 24 faces of billy milligan,Olivier Megaton,United States,2021,TV-14,Crime TV Shows,6.2,Kathy Preston,3763,9,2021,0,1
Movie,go! go! cory carson: chrissy takes the wheel,"Alex Woo, Stanley Moore",United States,2021,TV-Y,Children & Family Movies,6.1,Maisie Benson,41,9,2021,61,0
TV Show,jaguar,Not Given,Pakistan,2021,TV-MA,International TV Shows,5.7,Blanca Suárez,1848,9,2021,0,1
TV Show,chicago party aunt,Not Given,Pakistan,2021,TV-MA,TV Comedies,5.4,Lauren Ash,1587,9,2021,0,1
TV Show,squid game,Not Given,Pakistan,2021,TV-MA,International TV Shows,8.0,Lee Jung-jae,435160,9,2021,0,1
TV Show,squid game,Not Given,Pakistan,2021,TV-MA,International TV Shows,8.0,Lee Jung-jae,435164,9,2021,0,1
TV Show,the world's most amazing vacation rentals,Not Given,Pakistan,2021,TV-PG,Reality TV,6.7,Megan Batoon,1383,9,2021,0,2
TV Show,metal shop masters,Not Given,Pakistan,2021,TV-MA,Reality TV,5.6,Jo Koy,590,9,2021,0,1
TV Show,tobot galaxy detectives,Not Given,Pakistan,2019,TV-Y7,Kids' TV,6.2,Travis Turner,15,9,2021,0,2
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.1,Ji-eun Lee,9013,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,7.9,Choong Hwan Oh,176,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,7.9,Choong Hwan Oh,142,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.0,Choong Hwan Oh,128,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.0,Choong Hwan Oh,119,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,7.9,Choong Hwan Oh,114,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.0,Choong Hwan Oh,111,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.1,Choong Hwan Oh,106,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.5,Choong Hwan Oh,113,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.4,Choong Hwan Oh,106,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.5,Choong Hwan Oh,111,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.7,Choong Hwan Oh,111,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.5,Choong Hwan Oh,110,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.8,Choong Hwan Oh,127,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.2,Choong Hwan Oh,107,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.8,Choong Hwan Oh,100,9,2021,0,1
TV Show,hotel del luna,Not Given,Pakistan,2019,TV-14,International TV Shows,8.6,Choong Hwan Oh,127,9,2021,0,1
TV Show,how to be a cowboy,Not Given,Pakistan,2021,TV-PG,Reality TV,6.8,Dale Brisby,157,9,2021,0,1
TV Show,bread barbershop,Not Given,Pakistan,2020,TV-Y,Kids' TV,7.0,Marc Thompson,145,8,2021,0,2
TV Show,turning point: 9/11 and the war on terror,Not Given,Pakistan,2021,TV-14,Docuseries,8.0,James LaPorta,9520,9,2021,0,1
TV Show,hometown cha-cha-cha,Not Given,Pakistan,2021,TV-14,International TV Shows,8.4,Shin Min-a,12059,8,2021,0,1
TV Show,the ingenuity of the househusband,Not Given,Pakistan,2021,TV-G,International TV Shows,6.7,Kenjirô Tsuda,446,8,2021,0,1
Movie,intrusion,Adam Salky,Not Given,2021,TV-14,Thrillers,5.2,Adam Salky,17071,9,2021,94,0
Movie,ankahi kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,2021,TV-14,Dramas,5.5,Abhishek Chaubey,896,9,2021,111,0
Movie,the father who moves mountains,Daniel Sandu,Not Given,2021,TV-MA,Dramas,5.5,Daniel Sandu,3535,9,2021,110,0
Movie,the stronghold,Cédric Jimenez,Not Given,2021,TV-MA,Action & Adventure,6.9,Cédric Jimenez,10474,9,2021,105,0
Movie,the stronghold,Cédric Jimenez,Not Given,2021,TV-MA,Action & Adventure,0.0,Cédric Jimenez,0,9,2021,105,0
TV Show,the smart money woman,Bunmi Ajakaiye,South Africa,2020,TV-MA,International TV Shows,6.3,Osas Ighodaro,118,9,2021,0,1
Movie,you vs. wild: out cold,Ben Simms,United States,2021,TV-G,Children & Family Movies,5.4,Ben Simms,336,9,2021,106,0
Movie,jaws,Steven Spielberg,United States,1975,PG,Action & Adventure,8.1,Steven Spielberg,600404,9,2021,124,0
Movie,jaws 2,Jeannot Szwarc,United States,1978,PG,Dramas,5.8,Jeannot Szwarc,78737,9,2021,116,0
Movie,dolly parton: a musicares tribute,Not Given,Pakistan,2021,TV-PG,Documentaries,6.6,Christian Lamb,244,4,2021,55,0
TV Show,i heart arlo,Not Given,Pakistan,2021,TV-Y7,Kids' TV,6.5,Michael J. Woodard,229,8,2021,0,1
TV Show,cat people,Not Given,Pakistan,2021,TV-14,Docuseries,6.4,,304,7,2021,0,1
TV Show,titletown high,Not Given,Pakistan,2021,TV-14,Reality TV,5.6,John Bonavia,340,8,2021,0,1
TV Show,motel makeover,Not Given,Pakistan,2021,TV-14,International TV Shows,4.9,Christine Jovellanos,754,8,2021,0,1
TV Show,open your eyes,Not Given,Pakistan,2021,TV-MA,International TV Shows,6.5,Maria Wawreniuk,1520,8,2021,0,1
TV Show,post mortem: no one dies in skarnes,Not Given,Pakistan,2021,TV-MA,International TV Shows,7.1,Kathrine Thorborg Johansen,3434,8,2021,0,1
Movie,my heroes were cowboys,Tyler Greco,Not Given,2021,PG,Documentaries,6.7,Tyler Greco,282,9,2021,23,0
TV Show,comedy premium league,Not Given,Pakistan,2021,TV-MA,International TV Shows,4.7,Prajakta Koli,1562,8,2021,0,1
TV Show,everything will be fine,Not Given,Pakistan,2021,TV-MA,International TV Shows,6.3,Edwarda Gurrola,344,8,2021,0,1
TV Show,korean cold noodle rhapsody,Not Given,Pakistan,2021,TV-PG,Docuseries,7.6,Paik Jong-won,29,8,2021,0,1
TV Show,the chair,Not Given,Pakistan,2021,TV-MA,TV Comedies,7.2,Sandra Oh,16734,8,2021,0,1
TV Show,the defeated,Not Given,Pakistan,2020,TV-MA,Crime TV Shows,7.0,Taylor Kitsch,6344,8,2021,0,1
TV Show,car masters: rust to riches,Not Given,Pakistan,2021,TV-PG,Reality TV,8.4,Constance Nunes,10809,8,2021,0,3
Movie,king of boys,Kemi Adetiba,Nigeria,2018,TV-MA,Dramas,5.9,Kemi Adetiba,432,9,2021,182,0
TV Show,top secret ufo projects: declassified,Not Given,Pakistan,2021,TV-PG,Docuseries,5.5,Robert Polo,1502,8,2021,0,1
TV Show,centaurworld,Not Given,Pakistan,2021,TV-Y7,Kids' TV,7.6,Megan Dong,2151,7,2021,0,1
TV Show,myth & mogul: john delorean,Not Given,Pakistan,2021,TV-14,British TV Shows,6.8,,1087,7,2021,0,1
TV Show,tattoo redo,Not Given,Pakistan,2021,TV-MA,Reality TV,5.9,Jessimae Peluso,761,7,2021,0,1
TV Show,the snitch cartel: origins,Not Given,Pakistan,2021,TV-MA,Crime TV Shows,5.6,Laura Rodriguez,195,7,2021,0,1
TV Show,feels like ishq,Not Given,Pakistan,2021,TV-MA,International TV Shows,6.4,Kappil Shah,1569,7,2021,0,1
TV Show,how to become a tyrant,Not Given,Pakistan,2021,TV-MA,Docuseries,7.4,Peter Dinklage,8866,7,2021,0,1
Movie,kate,Cedric Nicolas-Troyan,United States,2021,R,Action & Adventure,6.2,Cedric Nicolas-Troyan,61030,9,2021,106,0
Movie,prey,Thomas Sieben,Germany,2021,TV-MA,International Movies,4.3,Thomas Sieben,7747,9,2021,87,0
Movie,prey,Thomas Sieben,Germany,2021,TV-MA,International Movies,5.3,Dick Maas,2519,9,2021,87,0
Movie,the women and the murderer,"Mona Achache, Patricia Tourancheau",France,2021,TV-14,Documentaries,6.4,Mona Achache,1324,9,2021,92,0
TV Show,sexy beasts,Not Given,Pakistan,2021,TV-14,British TV Shows,4.6,Rob Delaney,1161,7,2021,0,1
TV Show,sexy beasts,Not Given,Pakistan,2021,TV-14,British TV Shows,5.5,Rob Delaney,56,7,2021,0,1
Movie,why did you kill me?,Fredrick Munk,United States,2021,TV-MA,Documentaries,5.6,Fredrick Munk,4289,4,2021,84,0
TV Show,too hot to handle: brazil,Not Given,Pakistan,2021,TV-MA,International TV Shows,5.5,Alyson Leigh Rosenfeld,476,7,2021,0,1
TV Show,touch your heart,Not Given,Pakistan,2019,TV-MA,Crime TV Shows,7.6,Lee Dong-Wook,3423,7,2021,0,1
TV Show,my unorthodox life,Not Given,Pakistan,2021,TV-MA,Reality TV,5.7,Julia Haart,1236,7,2021,0,1
TV Show,the cook of castamar,Not Given,Pakistan,2021,TV-MA,International TV Shows,7.4,Michelle Jenner,3956,7,2021,0,1
TV Show,elize matsunaga: once upon a crime,Not Given,Pakistan,2021,TV-MA,Crime TV Shows,5.9,Stephanie Sherry,2216,7,2021,0,1
TV Show,the war next-door,Not Given,Pakistan,2021,TV-MA,International TV Shows,5.7,Mark Tacher,466,7,2021,0,1
TV Show,big timber,Not Given,Pakistan,2020,TV-14,International TV Shows,6.8,Coleman Willner,827,7,2021,0,1
TV Show,generation 56k,Not Given,Pakistan,2021,TV-MA,International TV Shows,7.4,Cristina Cappelli,2496,7,2021,0,1
TV Show,godzilla singular point,Not Given,Pakistan,2021,TV-14,Anime Series,6.5,Cristina Valenzuela,1721,6,2021,0,1
Movie,sisters on track,Not Given,Pakistan,2021,PG,Documentaries,5.9,Tone Grøttjord-Glenne,208,6,2021,97,0
TV Show,the parisian agency: exclusive properties,Not Given,Pakistan,2021,TV-G,International TV Shows,7.5,,704,6,2021,0,1
Movie,tughlaq durbar,Delhiprasad Deenadayalan,Not Given,2020,TV-14,Comedies,5.4,Delhi Prasad Deenadayal,1635,9,2021,145,0
Movie,blood brothers: malcolm x & muhammad ali,Marcus Clarke,Not Given,2021,PG-13,Documentaries,6.9,Marcus A. Clarke,986,9,2021,96,0
Movie,jj+e,Alexis Almström,Not Given,2021,TV-MA,Dramas,5.3,Alexis Almström,1815,9,2021,91,0
Movie,worth,Sara Colangelo,United States,2021,PG-13,Dramas,6.8,Sara Colangelo,14516,9,2021,119,0
Movie,afterlife of the party,Stephen Herek,United States,2021,TV-PG,Comedies,5.8,Stephen Herek,9071,9,2021,110,0
TV Show,this is pop,Not Given,Pakistan,2021,TV-MA,Docuseries,6.9,Ludwig Göransson,1180,6,2021,0,1
TV Show,human: the world within,Not Given,Pakistan,2021,TV-PG,Docuseries,6.8,Mandy Harvey,772,6,2021,0,1
Movie,untold: breaking point,"Chapman Way, Maclain Way",United States,2021,TV-MA,Documentaries,7.6,Chapman Way,2865,9,2021,80,0
TV Show,elite short stories: carla samuel,Not Given,Pakistan,2021,TV-MA,International TV Shows,6.8,Ester Expósito,2725,6,2021,0,1
TV Show,record of ragnarok,Not Given,Pakistan,2021,TV-MA,Anime Series,6.2,Kellen Goff,5162,6,2021,0,1
TV Show,elite short stories: omar ander alexis,Not Given,Pakistan,2021,TV-MA,International TV Shows,7.2,Arón Piper,1979,6,2021,0,1
TV Show,penguin town,Not Given,Pakistan,2021,TV-PG,Docuseries,7.8,Patton Oswalt,874,6,2021,0,1
TV Show,beyond evil,Not Given,Pakistan,2021,TV-MA,Crime TV Shows,8.1,Shin Ha-kyun,3289,6,2021,0,1
TV Show,elite short stories: nadia guzmán,Not Given,Pakistan,2021,TV-MA,International TV Shows,6.2,Miguel Bernardeau,1930,6,2021,0,1
Movie,headspace: unwind your mind,Not Given,Pakistan,2021,TV-G,Documentaries,7.1,Andy Puddicombe,155,6,2021,273,0
TV Show,rhyme time town,Not Given,Pakistan,2021,TV-Y,Kids' TV,7.7,Maddie Evans,80,6,2021,0,2
TV Show,elite short stories: guzmán caye rebe,Not Given,Pakistan,2021,TV-MA,International TV Shows,7.4,Miguel Bernardeau,2343,6,2021,0,1
Movie,trese after dark,Not Given,Pakistan,2021,TV-14,Anime Features,6.2,Gio Puyat,25,6,2021,36,0
TV Show,guru aur bhole,Not Given,Pakistan,2018,TV-Y7,Kids' TV,4.8,,21,6,2021,0,2
TV Show,high on the hog: how african american cuisine transformed america,Not Given,Pakistan,2021,TV-14,Docuseries,7.7,Stephen Satterfield,711,5,2021,0,1
TV Show,mad for each other,Not Given,Pakistan,2021,TV-MA,International TV Shows,7.9,Woo Jung,1872,5,2021,0,1
TV Show,pet stars,Not Given,Pakistan,2021,TV-PG,Reality TV,5.1,Colleen Wilson,123,4,2021,0,1
TV Show,the unremarkable juanquini,Not Given,Pakistan,2021,TV-MA,International TV Shows,4.3,Julián Cerati,191,4,2021,0,2
